tweet_id,author_id,in_response_to_tweet_id,created_at,text,response_tweet_id
269,AmazonHelp,272,Wed Nov 22 09:23:01 +0000 2017,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,269
273,AmazonHelp,271,Wed Nov 22 09:40:27 +0000 2017,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,273
275,AmazonHelp,274,Wed Nov 22 10:06:26 +0000 2017,@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET,275
324,AmazonHelp,325,Wed Nov 22 09:06:00 +0000 2017,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET,324
615,AmazonHelp,617,Tue Oct 31 22:29:00 +0000 2017,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",615
618,AmazonHelp,616,Tue Oct 31 23:28:00 +0000 2017,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,618
620,AmazonHelp,621,Tue Oct 31 22:28:34 +0000 2017,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",620
622,AmazonHelp,624,Tue Oct 31 22:28:00 +0000 2017,"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",622
625,AmazonHelp,623,Tue Oct 31 22:34:32 +0000 2017,@115824 Wir haben zu danken. Schönen Abend noch. ^JS,625
626,AmazonHelp,628,Tue Oct 31 22:28:00 +0000 2017,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,626
629,AmazonHelp,627,Wed Nov 01 12:53:34 +0000 2017,@115827 Thanks for your patience. ^KM,629
631,AmazonHelp,632,Tue Oct 31 22:27:00 +0000 2017,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,631
633,AmazonHelp,634,Tue Oct 31 22:26:37 +0000 2017,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,633
635,AmazonHelp,636,Tue Oct 31 22:26:07 +0000 2017,@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,635
637,AmazonHelp,638,Tue Oct 31 22:26:07 +0000 2017,@115834 Were you able to reach us at the link DW provided? ^TR,637
639,AmazonHelp,640,Tue Oct 31 01:09:35 +0000 2017,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",639
642,AmazonHelp,643,Tue Oct 31 00:52:39 +0000 2017,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",642
644,AmazonHelp,646,Tue Oct 31 22:25:27 +0000 2017,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,644
647,AmazonHelp,645,Wed Nov 01 08:11:34 +0000 2017,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,647
648,AmazonHelp,649,Tue Oct 31 22:24:47 +0000 2017,@115836 Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL,648
650,AmazonHelp,652,Tue Oct 31 22:24:47 +0000 2017,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,650
653,AmazonHelp,651,Tue Oct 31 22:52:02 +0000 2017,"@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",653
655,AmazonHelp,654,Tue Oct 31 23:07:33 +0000 2017,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,655
656,AmazonHelp,657,Tue Oct 31 22:21:10 +0000 2017,@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,656
658,AmazonHelp,659,Tue Oct 31 22:11:00 +0000 2017,@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,658
660,AmazonHelp,661,Tue Oct 31 22:21:01 +0000 2017,@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO,660
663,AmazonHelp,664,Tue Oct 31 22:20:34 +0000 2017,@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B We're unable to view order details via Twitter. ^KL,663
665,AmazonHelp,667,Tue Oct 31 22:19:29 +0000 2017,@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,665
668,AmazonHelp,670,Tue Oct 31 22:18:00 +0000 2017,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,668
675,AmazonHelp,676,Tue Oct 31 22:17:27 +0000 2017,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,675
680,AmazonHelp,681,Tue Oct 31 22:17:00 +0000 2017,@115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,680
684,AmazonHelp,686,Tue Oct 31 22:17:00 +0000 2017,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,684
687,AmazonHelp,685,Wed Nov 01 05:32:57 +0000 2017,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,687
689,AmazonHelp,690,Tue Oct 31 21:54:32 +0000 2017,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,689
692,AmazonHelp,693,Tue Oct 31 22:16:00 +0000 2017,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,692
